accession,line_type,institution,location,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,seed_total,outcome,parent_plant_id,comments
SALK_073770c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0285,BC_S11Farm_0285,M,,,Y,300,,,
SALK_073808c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0286,BC_S11Farm_0286,L,,,Y,200,,,
SALK_073856c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0287,BC_S11Farm_0287,L,,,Y,500,,,
SALK_073953c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0288,BC_S11Farm_0288,L,,,Y,> 100,,,
SALK_073973c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0289,BC_S11Farm_0289,L,,,Y,> 200,,,
SALK_074218c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0290,BC_S11Farm_0290,L,,,Y,500,,,
SALK_074221c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0291,BC_S11Farm_0291,L,,,Y,> 200,,,
SALK_074231c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0024,BC_S11Farm_0024,L,,,N,,DNG,,plant germinated very late
SALK_074254c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0292,BC_S11Farm_0292,L,,,Y,> 500,,,
SALK_074288c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0293,BC_S11Farm_0293,L,,,Y,50,,,
SALK_074297c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0294,BC_S11Farm_0294,L,,,Y,> 500,,,
SALK_074302c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0295,BC_S11Farm_0295,L,,,Y,300,,,
SALK_074327c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0296,BC_S11Farm_0296,L,,,Y,300,,,
SALK_074344c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0297,BC_S11Farm_0297,L,,,Y,0,INS_FRUIT,,
SALK_074384c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0025,BC_S11Farm_0025,L,,,N,,DNG,,plant germinated very late
SALK_074403c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0298,BC_S11Farm_0298,L,,,Y,300,,,
SALK_074414c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0299,BC_S11Farm_0299,Q,,,Y,100,,,
SALK_074523c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0300,BC_S11Farm_0300,Q,,,Y,200,,,
SALK_074540c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0301,BC_S11Farm_0301,Q,,,Y,200,,,
SALK_074568c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0302,BC_S11Farm_0302,L,,,Y,200,,,
SALK_074593c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0303,BC_S11Farm_0303,L,,,Y,300,,,
SALK_074601c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0304,BC_S11Farm_0304,Q,,,Y,300,,,
SALK_074609c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0305,BC_S11Farm_0305,Q,,,Y,300,,,
SALK_074725c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0306,BC_S11Farm_0306,Q,,,Y,,,,
SALK_074788c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0307,BC_S11Farm_0307,Q,,,Y,400,,,
SALK_074806c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0308,BC_S11Farm_0308,Q,,,Y,500,,,
SALK_074807c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0309,BC_S11Farm_0309,Q,,,Y,300,,,
SALK_074821c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0310,BC_S11Farm_0310,Q,,,Y,300,,,
SALK_074830c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0311,BC_S11Farm_0311,Q,,,Y,200,,,
SALK_074889c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0312,BC_S11Farm_0312,Q,,,Y,300,,,
SALK_074896c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0313,BC_S11Farm_0313,Q,,,Y,300,,,
SALK_074899c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0314,BC_S11Farm_0314,Q,,,Y,300,,,
SALK_074901c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0315,BC_S11Farm_0315,Q,,,Y,100,,,
SALK_074962c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0316,BC_S11Farm_0316,Q,,,Y,200,,,
SALK_074964c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0317,BC_S11Farm_0317,Q,,,Y,500,,,
SALK_074974c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0026,BC_S11Farm_0026,Q,,,Y,,DIED,,"plant killed by moss, no seeds"
SALK_075035c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0318,BC_S11Farm_0318,Q,,,Y,400,,,
SALK_075046c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0319,BC_S11Farm_0319,Q,,,Y,200,,,
SALK_075228c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0320,BC_S11Farm_0320,Q,,,Y,500,,,another tube of this salk line in flat U
SALK_075228c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0321,BC_S11Farm_0321,Q,,,Y,,,,
SALK_075260c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0322,BC_S11Farm_0322,U,,,Y,300,,,flowering
SALK_075261c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0323,BC_S11Farm_0323,U,,,Y,500,,,thinned before transplanting--did not transplant!
SALK_075372c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0324,BC_S11Farm_0324,U,,,Y,200,,,
SALK_075374c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0325,BC_S11Farm_0325,U,,,Y,100,,,
SALK_075381c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0326,BC_S11Farm_0326,U,,,Y,100,,,
SALK_075391c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0327,BC_S11Farm_0327,U,,,Y,500,,,flowering
SALK_075421c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0328,BC_S11Farm_0328,U,,,Y,> 500,,,
SALK_075433c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0329,BC_S11Farm_0329,U,,,Y,300,,,
SALK_075484c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0330,BC_S11Farm_0330,U,,,Y,100,,,
SALK_075496c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0331,BC_S11Farm_0331,U,,,Y,300,,,
SALK_075516c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0332,BC_S11Farm_0332,U,,,Y,400,,,
SALK_075519c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0333,BC_S11Farm_0333,U,,,Y,200,,,
SALK_075540c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0027,BC_S11Farm_0027,U,,,N,,DNG,,
SALK_075639c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0028,BC_S11Farm_0028,U,,,Y,,DIED,,fungal spores; no seeds
SALK_075661c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0334,BC_S11Farm_0334,U,,,Y,500,,,
SALK_075669c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0335,BC_S11Farm_0335,U,,,Y,200,,,
SALK_075672c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0336,BC_S11Farm_0336,U,,,Y,100,,,
SALK_075698c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0029,BC_S11Farm_0029,U,,,N,,DNG,,
SALK_075713c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0337,BC_S11Farm_0337,U,,,Y,400,,,
SALK_075724c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0338,BC_S11Farm_0338,U,,,Y,500,,,
SALK_075753c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0339,BC_S11Farm_0339,U,,,Y,,,,
SALK_075758c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0030,BC_S11Farm_0030,U,,,N,,DNG,,
SALK_075796c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0340,BC_S11Farm_0340,U,,,Y,300,,,
SALK_075797c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0341,BC_S11Farm_0341,U,,,Y,100,,,
SALK_075841c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0342,BC_S11Farm_0342,U,,,Y,400,,,
SALK_075873c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0343,BC_S11Farm_0343,U,,,Y,300,,,
SALK_075879c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0344,BC_S11Farm_0344,R,,,Y,300,,,
SALK_075882c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0345,BC_S11Farm_0345,R,,,Y,200,,,
SALK_075913c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0346,BC_S11Farm_0346,R,,,Y,300,,,
SALK_075931c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0347,BC_S11Farm_0347,R,,,Y,200,,,
SALK_075951c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0348,BC_S11Farm_0348,R,,,Y,50,,,
SALK_075966c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0349,BC_S11Farm_0349,R,,,Y,400,,,
SALK_075970c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0350,BC_S11Farm_0350,R,,,Y,200,,,
SALK_075994c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0351,BC_S11Farm_0351,R,,,Y,300,,,
SALK_076002c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0352,BC_S11Farm_0352,R,,,Y,50,,,
SALK_076054c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0353,BC_S11Farm_0353,R,,,Y,400,,,
SALK_076060c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0354,BC_S11Farm_0354,R,,,Y,400,,,
SALK_076067c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0355,BC_S11Farm_0355,R,,,Y,300,,,
SALK_076082c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0356,BC_S11Farm_0356,R,,,Y,400,,,
SALK_076158c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0357,BC_S11Farm_0357,R,,,Y,20,,,few seeds; plant fungus-y and discarded
SALK_076197c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0358,BC_S11Farm_0358,R,,,Y,300,,,
SALK_076216c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0031,BC_S11Farm_0031,R,,,Y,,DIED,,plant died
SALK_076273c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0359,BC_S11Farm_0359,R,,,Y,300,,,**flowering
SALK_076324c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0360,BC_S11Farm_0360,R,,,Y,400,,,
SALK_076337c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0361,BC_S11Farm_0361,R,,,Y,200,,,full inf. when found bolting
SALK_076362c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0362,BC_S11Farm_0362,R,,,Y,500,,,
SALK_076366c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0363,BC_S11Farm_0363,R,,,Y,100,,,
SALK_108622c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0032,BC_S11Farm_0032,R,,,N,,DNG,,
SALK_108641c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0364,BC_S11Farm_0364,T,,,Y,400,,,
SALK_108667c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0365,BC_S11Farm_0365,T,,,Y,300,,,
SALK_108715c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0366,BC_S11Farm_0366,T,,,Y,200,,,
SALK_108742c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0367,BC_S11Farm_0367,T,,,Y,200,,,
SALK_108798c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0368,BC_S11Farm_0368,T,,,Y,400,,,
