accession,plant_num,plant_id,institution,expt_type,expt_ID,tray,row,column,parent_plant_id,facility,seed_stock_location,seed_quantity,isolation_id,comments,comments.orig,used_in_exptID
SALK_113587C,1A,CofC_S11Farm_1408,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box02_36,50,,plantum=1A|  other comments ,,
SALK_113587C,1B,CofC_S11Farm_1409,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_35,>>100,,plantum=1B|  other comments ,,
SALK_113587C,1H,CofC_S11Farm_1410,CofC,DF,1,,,,,NGH-COFC,Hanna_Box02_11,40,,plantum=1H|  other comments ,,
SALK_113627C,3,CofC_S11Farm_1411,CofC,DF,1,,,,,NGH-COFC,,,I11-V09-10,plantum=3|  other comments ,,
SALK_113836C,1A,CofC_S11Farm_1412,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_75,30,,plantum=1A|  other comments ,,
SALK_113836C,1B,CofC_S11Farm_1413,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1B|  other comments ,,
SALK_113836C,1HA,CofC_S11Farm_1414,CofC,DF,1,,,,,NGH-COFC,Hanna_Box02_42,>100,,plantum=1HA|  other comments ,,
SALK_113836C,1HB,CofC_S11Farm_1415,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1HB|  other comments ,,
SALK_113836C,2A,CofC_S11Farm_1416,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_50,50,,plantum=2A|  other comments ,,
SALK_113836C,2B,CofC_S11Farm_1417,CofC,DF,1,,,,,NGH-COFC,,,I12-W05-15,plantum=2B|  other comments ,,
SALK_114420C,1,CofC_S11Farm_1418,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box01_48,20,,plantum=1|  other comments ,,
SALK_114420C,2,CofC_S11Farm_1419,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2|  other comments ,,
SALK_114420C,1H,CofC_S11Farm_1420,CofC,DF,1,,,,,NGH-COFC,Hanna_Box01_43,100,I12-V04-5,plantum=1H|  other comments ,,
SALK_114463C,1,CofC_S11Farm_1421,CofC,DF,1,,,,,NGH-COFC,Hanna_Box02_29,75,,plantum=1|  other comments ,,
SALK_114463C,2,CofC_S11Farm_1422,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_75,30,I12-K13-17,plantum=2|  other comments ,,
SALK_114514C,1,CofC_S11Farm_1423,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box01_53,50,,plantum=1|  other comments ,,
SALK_114514C,2,CofC_S11Farm_1424,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2|  other comments ,,
SALK_114626C,1A,CofC_S11Farm_1425,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box07_22,50,,plantum=1A|  other comments ,,
SALK_114626C,1B,CofC_S11Farm_1426,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_47,150,I12-W05-17,plantum=1B|  other comments ,,
SALK_114626C,2A,CofC_S11Farm_1427,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box07_27,100,,plantum=2A|  other comments ,,
SALK_114626C,2B,CofC_S11Farm_1428,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_52,100,,plantum=2B|  other comments ,,
SALK_114641C,1,CofC_S11Farm_1429,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box12_35,>100,I12-G05-1,plantum=1|  other comments ,,
SALK_114641C,2,CofC_S11Farm_1430,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box12_4,100,I12-V03-11,plantum=2|  other comments ,,
SALK_114643C,,CofC_S11Farm_1431,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments FARM_FAIL,FARM_FAIL,
SALK_114667C,1,CofC_S11Farm_1432,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_49,100,I12-G04-13,plantum=1|  other comments ,,
SALK_114667C,1H,CofC_S11Farm_1433,CofC,DF,1,,,,,NGH-COFC,Hanna_Box03_6,>100,I12-V02-10,plantum=1H|  other comments ,,
SALK_115125C,1,CofC_S11Farm_1434,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box14_20,50,,plantum=1|  other comments ,,
SALK_115125C,2,CofC_S11Farm_1435,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box14_30,100,I12-W06-5,plantum=2|  other comments ,,
SALK_115125C,1H,CofC_S11Farm_1436,CofC,DF,1,,,,,NGH-COFC,Hanna_Box01_4,>100,I12-K02-14,plantum=1H|  other comments ,,
SALK_115368C,1,CofC_S11Farm_1437,CofC,DF,1,,,,,NGH-COFC,Hanna_Box01_22,>100,I12-V02-26,plantum=1|  other comments ,,
