"exptid","accession","institution","facility","flat","row","column","expttype","ko.status","replicate","GC_locale","parent_id","phenotype","value","comments","treatment"
"1a1","CS22636","CofC","COFC-GC1",3,"B",2,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0122","fruitnum",19,"","standard GC"
"1a1","CS22636","CofC","COFC-GC1",4,"K",3,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0122","fruitnum",15,"","standard GC"
"1a1","CS22636","CofC","COFC-GC1",5,"E",1,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0122","fruitnum",14,"","standard GC"
"1a1","CS22636","CofC","COFC-GC1",6,"E",3,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0122","fruitnum",19,"","standard GC"
"1a1","CS22636","CofC","COFC-GC2",7,"E",6,"1ENVT_GC","PHYTO",1,"GC2","CofC_SF01_0122","fruitnum",17,"","standard GC"
"1a1","CS22636","CofC","COFC-GC2",8,"A",5,"1ENVT_GC","PHYTO",2,"GC2","CofC_SF01_0122","fruitnum",16,"","standard GC"
"1a1","CS22636","CofC","COFC-GC2",9,"K",2,"1ENVT_GC","PHYTO",3,"GC2","CofC_SF01_0122","fruitnum",27,"","standard GC"
"1a1","CS22636","CofC","COFC-GC2",10,"I",6,"1ENVT_GC","PHYTO",4,"GC2","CofC_SF01_0122","fruitnum",21,"","standard GC"
"1a1","CS22636","CofC","COFC-GC2",11,"C",5,"1ENVT_GC","PHYTO",5,"GC2","CofC_SF01_0122","fruitnum",22,"","standard GC"
"1a1","CS22636","CofC","COFC-GC2",12,"B",3,"1ENVT_GC","PHYTO",6,"GC2","CofC_SF01_0122","fruitnum",20,"","standard GC"
"1a1","CS22652","BC","BC-GC1",1,"D",6,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0122","fruitnum",37,"","standard GC"
"1a1","CS22652","BC","BC-GC1",2,"H",3,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0122","fruitnum",52,"","standard GC"
"1a1","CS22652","BC","BC-GC1",3,"C",5,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0122","fruitnum",47,"","standard GC"
"1a1","CS22652","BC","BC-GC1",4,"C",3,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0122","fruitnum",75,"","standard GC"
"1a1","CS22652","BC","BC-GC1",5,"J",6,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0122","fruitnum",81,"","standard GC"
"1a1","CS22652","BC","BC-GC1",6,"A",3,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0122","fruitnum",78,"","standard GC"
"1a1","CS22652","CofC","COFC-GC1",1,"D",1,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0149","fruitnum",14,"","standard GC"
"1a1","CS22652","CofC","COFC-GC1",2,"I",6,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0149","fruitnum",14,"","standard GC"
"1a1","CS22652","CofC","COFC-GC1",3,"G",3,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0149","fruitnum",25,"","standard GC"
"1a1","CS22652","CofC","COFC-GC1",4,"F",4,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0149","fruitnum",19,"","standard GC"
"1a1","CS22652","CofC","COFC-GC1",5,"F",2,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0149","fruitnum",12,"","standard GC"
"1a1","CS22652","CofC","COFC-GC1",6,"H",1,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0149","fruitnum",25,"","standard GC"
"1a1","CS22652","CofC","COFC-GC2",7,"F",5,"1ENVT_GC","PHYTO",1,"GC2","CofC_SF01_0149","fruitnum",16,"","standard GC"
"1a1","CS22652","CofC","COFC-GC2",8,"G",3,"1ENVT_GC","PHYTO",2,"GC2","CofC_SF01_0149","fruitnum",20,"","standard GC"
"1a1","CS22652","CofC","COFC-GC2",9,"C",5,"1ENVT_GC","PHYTO",3,"GC2","CofC_SF01_0149","fruitnum",41,"","standard GC"
"1a1","CS22652","CofC","COFC-GC2",10,"D",5,"1ENVT_GC","PHYTO",4,"GC2","CofC_SF01_0149","fruitnum",32,"","standard GC"
"1a1","CS22652","CofC","COFC-GC2",11,"G",3,"1ENVT_GC","PHYTO",5,"GC2","CofC_SF01_0149","fruitnum",22,"","standard GC"
"1a1","CS22652","CofC","COFC-GC2",12,"L",5,"1ENVT_GC","PHYTO",6,"GC2","CofC_SF01_0149","fruitnum",27,"","standard GC"
"1a1","CS22658","BC","BC-GC1",1,"F",5,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0149","fruitnum",34,"","standard GC"
"1a1","CS22658","BC","BC-GC1",2,"G",3,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0149","fruitnum",49,"","standard GC"
"1a1","CS22658","BC","BC-GC1",3,"H",5,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0149","fruitnum",69,"","standard GC"
"1a1","CS22658","BC","BC-GC1",4,"E",1,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0149","fruitnum",42,"","standard GC"
