"exptid","accession","institution","facility","flat","row","column","fruitnum","aborted.fruits","inflorescence.height","diameter.at.bolt","treatment","parent_id"
"1a1","SALK_050266C","CofC","COFC-GC2",11,"B",1,10,2,13.6,33,"standard GC","BC_S11Farm_0262"
"1a1","SALK_050287C","BC","BC-GC1",6,"A",2,82,4,24.9,54.45,"standard GC","BC_S11Farm_0263"
"1a1","SALK_050287C","CofC","COFC-GC1",4,"B",1,25,3,17.9,37.7,"standard GC","BC_S11Farm_0263"
"1a1","SALK_050287C","CofC","COFC-GC2",10,"E",5,24,13,23.5,43.7,"standard GC","BC_S11Farm_0263"
"1a1","SALK_050561C","BC","BC-GC1",6,"K",4,104,42,29.2,47.4,"standard GC","BC_S11Farm_0264"
"1a1","SALK_050561C","CofC","COFC-GC1",5,"D",6,25,4,18.7,24.7,"standard GC","BC_S11Farm_0264"
"1a1","SALK_050561C","CofC","COFC-GC2",10,"D",2,23,9,23.2,NA,"standard GC","BC_S11Farm_0264"
"1a1","SALK_050906C","BC","BC-GC1",4,"J",2,NA,NA,NA,NA,"standard GC","BC_S11Farm_0270"
"1a1","SALK_050906C","CofC","COFC-GC1",4,"K",5,23,11,20.2,36.5,"standard GC","BC_S11Farm_0270"
"1a1","SALK_050906C","CofC","COFC-GC2",11,"L",6,22,4,20,34.6,"standard GC","BC_S11Farm_0270"
"1a1","SALK_050938C","BC","BC-GC1",4,"J",3,NA,NA,NA,NA,"standard GC","BC_S11Farm_0274"
"1a1","SALK_050938C","CofC","COFC-GC1",5,"G",4,23,4,15.9,24.8,"standard GC","BC_S11Farm_0274"
"1a1","SALK_050938C","CofC","COFC-GC2",10,"C",4,26,10,21.2,39.8,"standard GC","BC_S11Farm_0274"
"1a1","SALK_050948C","BC","BC-GC1",3,"K",3,67,9,28.5,39.74,"standard GC","BC_S11Farm_0275"
"1a1","SALK_050948C","CofC","COFC-GC1",5,"D",1,14,1,11.5,15.8,"standard GC","BC_S11Farm_0275"
"1a1","SALK_050948C","CofC","COFC-GC2",8,"E",4,24,5,21.4,31.3,"standard GC","BC_S11Farm_0275"
"1a1","SALK_051012C","BC","BC-GC1",5,"C",6,71,9,28.4,49.02,"standard GC","BC_S11Farm_0277"
"1a1","SALK_051012C","CofC","COFC-GC1",3,"J",5,32,7,27.7,42.9,"standard GC","BC_S11Farm_0277"
"1a1","SALK_051012C","CofC","COFC-GC2",9,"A",3,15,5,19.2,24,"standard GC","BC_S11Farm_0277"
"1a1","SALK_051039C","BC","BC-GC1",2,"E",5,65,10,25.1,29.68,"standard GC","BC_S11Farm_0278"
"1a1","SALK_051039C","CofC","COFC-GC1",4,"C",5,19,1,20.2,35.5,"standard GC","BC_S11Farm_0278"
