accession,plant_num,plant_id,parent_id,seed_stock_location,seed_quantity,isolation_id,comments
SALK_020153C,2,CofC_S11Farm_0218,,,,,
SALK_020153C,2H,CofC_S11Farm_0219,,,,,
SALK_020216C,1,CofC_S11Farm_0220,,S11Farm_Box04_1,>100,I12-G03-10,
SALK_020216C,2,CofC_S11Farm_0221,,S11Farm_Box04_4,100,,
SALK_020216C,1H,CofC_S11Farm_0222,,Hanna_Box02_37,20,,
SALK_020409C,2,CofC_S11Farm_0223,,S11Farm_Box04_39,100,I11-G02-28,
SALK_020409C,1B,CofC_S11Farm_0224,,S11Farm_Box07_76,100,,
SALK_020702C,3,CofC_S11Farm_0225,,S11Farm_Box14_76,50,,no DNA
SALK_020702C,1A,CofC_S11Farm_0226,,,,,
SALK_020702C,1B,CofC_S11Farm_0227,,,,I11-W03-10,no seed
SALK_020702C,2A,CofC_S11Farm_0228,,,,,
SALK_020702C,2B,CofC_S11Farm_0229,,S11Farm_Box07_62,10,,no DNA
SALK_020716C,2,CofC_S11Farm_0230,,S11Farm_Box07_65,100,I11-W03-11,
SALK_020792C,2,CofC_S11Farm_0231,,,,,
SALK_020792C,1A,CofC_S11Farm_0232,,S11Farm_Box02_49,50,I12-W05-4,
SALK_020792C,1B,CofC_S11Farm_0233,,,,,
SALK_020840C,1A,CofC_S11Farm_0234,,S11Farm_Box10_31,60,,
SALK_020840C,1B,CofC_S11Farm_0235,,S11Farm_Box13_79,10,,
SALK_020840C,2A,CofC_S11Farm_0236,,S11Farm_Box10_32,150,I12-G05-30,
SALK_020840C,2B,CofC_S11Farm_0237,,S11Farm_Box15_73,60,,
SALK_020888C,1,CofC_S11Farm_0238,,,,I12-G03-18,no seed
SALK_020888C,2,CofC_S11Farm_0239,,S11Farm_Box03_18,100,,no DNA
SALK_020941C,,CofC_S11Farm_0240,,,,,FARM_FAIL
SALK_021126C,1A,CofC_S11Farm_0241,,,,,
SALK_021126C,1B,CofC_S11Farm_0242,,,,,
SALK_021126C,2A,CofC_S11Farm_0243,,S11Farm_Box08_36,20,,no DNA
SALK_021126C,2B,CofC_S11Farm_0244,,S11Farm_Box03_36,100,,no DNA
SALK_021362C,1,CofC_S11Farm_0245,,S11Farm_Box07_45,30,I12-G02-2,
SALK_021362C,2,CofC_S11Farm_0246,,S11Farm_Box07_50,100,,
SALK_021394C,1,CofC_S11Farm_0247,,S11Farm_Box01_54,10,I12-K13-5,
SALK_021394C,2,CofC_S11Farm_0248,,S11Farm_Box08_53,50,,
SALK_021394C,2H,CofC_S11Farm_0249,,Hanna_Box01_53,7,I11-V07-5,
SALK_021426C,2,CofC_S11Farm_0250,,S11Farm_Box05_44,130,I11-W02-5,
SALK_021426C,1A,CofC_S11Farm_0251,,S11Farm_Box08_64,50,,
SALK_021426C,1B,CofC_S11Farm_0252,,S11Farm_Box05_43,160,,
SALK_021865C,1,CofC_S11Farm_0253,,,,,
SALK_021865C,2,CofC_S11Farm_0254,,S11Farm_Box08_59,50,,no DNA
SALK_021924C,1,CofC_S11Farm_0255,,S11Farm_Box07_26,30,I11-G01-30,
SALK_021924C,2,CofC_S11Farm_0256,,S11Farm_Box07_29,50,,
SALK_021999C,1A,CofC_S11Farm_0257,,S11Farm_Box08_58,20,,
SALK_021999C,1B,CofC_S11Farm_0258,,S11Farm_Box09_47,100,I11-V09-6,
SALK_021999C,2A,CofC_S11Farm_0259,,S11Farm_Box08_63,40,I11-W03-4,
SALK_021999C,2B,CofC_S11Farm_0260,,S11Farm_Box09_48,90,,
SALK_022035C,,CofC_S11Farm_0261,,,,,DNG
SALK_022107C,2,CofC_S11Farm_0262,,S11Farm_Box15_9,10,I12-K13-24,
SALK_022160C,1,CofC_S11Farm_0263,,S11Farm_Box03_30,100,I11-G03-16,
SALK_022174C,,CofC_S11Farm_0264,,,,,FARM_FAIL
SALK_022184C,1,CofC_S11Farm_0265,,S11Farm_Box06_27,20,I11-G02-25,
SALK_022192C,1,CofC_S11Farm_0266,,S11Farm_Box13_77,20,,
SALK_022231C,,CofC_S11Farm_0267,,,,,FARM_FAIL
SALK_022359C,1,CofC_S11Farm_0268,,S11Farm_Box09_51,65,I11-V09-4,
SALK_022429C,1,CofC_S11Farm_0269,,S11Farm_Box10_17,50,,
SALK_022606C,1A,CofC_S11Farm_0270,,S11Farm_Box01_36,3,,
SALK_022606C,1B,CofC_S11Farm_0271,,S11Farm_Box02_50,100,,
SALK_022652C,,CofC_S11Farm_0272,,,,,FARM_FAIL
SALK_022708C,1,CofC_S11Farm_0273,,S11Farm_Box08_57,35,I11-W03-6,
SALK_022708C,2,CofC_S11Farm_0274,,,,,
SALK_022835C,2,CofC_S11Farm_0275,,S11Farm_Box02_19,50,,
SALK_022835C,1A,CofC_S11Farm_0276,,S11Farm_Box02_15,20,,
SALK_022835C,1B,CofC_S11Farm_0277,,S11Farm_Box03_63,100,I11-W01-4,
SALK_022911C,,CofC_S11Farm_0278,,,,,FARM_FAIL
SALK_023093C,1A,CofC_S11Farm_0279,,S11Farm_Box03_50,20,,
SALK_023093C,1B,CofC_S11Farm_0280,,S11Farm_Box07_28,20,,
SALK_023093C,2A,CofC_S11Farm_0281,,S11Farm_Box02_18,100,I12-G03-6,
SALK_023093C,2B,CofC_S11Farm_0282,,S11Farm_Box07_25,10,,
SALK_023296C,1,CofC_S11Farm_0283,,,,,two DNA samples labeled #1; no seed
SALK_023296C,2,CofC_S11Farm_0284,,,,,two seed samples labeled #2; no DNA
SALK_023411C,1,CofC_S11Farm_0285,,Hanna_Box02_38,25,I11-V12-11,
SALK_023429C,2,CofC_S11Farm_0286,,S11Farm_Box07_47,100,,two DNA samples labeled #2
SALK_023429C,1A,CofC_S11Farm_0287,,S11Farm_Box11_14,30,,
SALK_023429C,1B,CofC_S11Farm_0288,,S11Farm_Box07_48,1,,
SALK_023674C,,CofC_S11Farm_0289,,,,,FARM_FAIL
SALK_023733C,1,CofC_S11Farm_0290,,S11Farm_Box02_13,20,,
SALK_023733C,2A,CofC_S11Farm_0291,,S11Farm_Box09_54,60,,
SALK_023733C,2B,CofC_S11Farm_0292,,S11Farm_Box02_14,20,I11-G05-27,
SALK_023753C,1,CofC_S11Farm_0293,,,,,no DNA; two seeds both labeled #1
SALK_023771C,,CofC_S11Farm_0294,,,,,FARM_FAIL
SALK_023789C,,CofC_S11Farm_0295,,,,,DNG
SALK_023980C,2,CofC_S11Farm_0296,,S11Farm_Box01_51,>100,,
SALK_023980C,1A,CofC_S11Farm_0297,,S11Farm_Box10_37,160,I11-G01-23,
SALK_023980C,1B,CofC_S11Farm_0298,,S11Farm_Box01_26,2,,
SALK_024173C,,CofC_S11Farm_0299,,,,,FARM_FAIL
SALK_024198C,1,CofC_S11Farm_0300,,Hanna_Box01_66,>100,,tissue in conflicted box
SALK_024198C,2,CofC_S11Farm_0301,,,,,no seed or tissue
SALK_024228C,1A,CofC_S11Farm_0302,,S11Farm_Box08_16,7,I11-V13-11,
SALK_024228C,1B,CofC_S11Farm_0303,,S11Farm_Box03_27,100,I12-G04-30,
SALK_024228C,2A,CofC_S11Farm_0304,,,,,
SALK_024241C,,CofC_S11Farm_0305,,,,,FARM_FAIL
SALK_024428C,1,CofC_S11Farm_0306,,Hanna_Box01_31,100,I12-K02-2,
SALK_024428C,2,CofC_S11Farm_0307,,,,,
SALK_024428C,2H,CofC_S11Farm_0308,,Hanna_Box01_2,100,,
SALK_024845C,1,CofC_S11Farm_0309,,S11Farm_Box02_69,100,I12-G04-15,
SALK_024845C,2,CofC_S11Farm_0310,,S11Farm_Box02_70,100,,
SALK_025160C,1A,CofC_S11Farm_0311,,S11Farm_Box10_5,120,I11-G02-24,
SALK_025160C,1B,CofC_S11Farm_0312,,S11Farm_Box03_68,10,,
SALK_025160C,2A,CofC_S11Farm_0313,,S11Farm_Box01_52,50-100,,
SALK_025160C,2B,CofC_S11Farm_0314,,S11Farm_Box03_70,50,,
SALK_025269C,1A,CofC_S11Farm_0315,,S11Farm_Box04_29,50,I12-K13-3,
SALK_025269C,1B,CofC_S11Farm_0316,,S11Farm_Box15_15,7,I12-K13-25,
SALK_025503C,3,CofC_S11Farm_0317,,,,I11-V04-13,
SALK_025503C,1A,CofC_S11Farm_0318,,S11Farm_Box08_51,50,,
SALK_025503C,1B,CofC_S11Farm_0319,,,,,
SALK_025503C,2A,CofC_S11Farm_0320,,S11Farm_Box08_65,90,,
SALK_025503C,2B,CofC_S11Farm_0321,,S11Farm_Box09_59,15,,
SALK_025839C,1,CofC_S11Farm_0322,,,,,
SALK_025876C,1,CofC_S11Farm_0323,,S11Farm_Box04_20,50,I12-G02-18,
SALK_025876C,2,CofC_S11Farm_0324,,,,,
SALK_025905C,1,CofC_S11Farm_0325,,S11Farm_Box08_5,>100,I11-G02-30,
SALK_025905C,2,CofC_S11Farm_0326,,S11Farm_Box08_6,90,,
SALK_026421C,1A,CofC_S11Farm_0327,,S11Farm_Box11_12,20,,
SALK_026421C,1B,CofC_S11Farm_0328,,S11Farm_Box04_7,100,I12-G04-21,
SALK_026421C,2A,CofC_S11Farm_0329,,S11Farm_Box11_13,15,,
SALK_026421C,2B,CofC_S11Farm_0330,,S11Farm_Box01_79,>100,,
SALK_026568C,2,CofC_S11Farm_0331,,S11Farm_Box09_63,50,,
SALK_026568C,1A,CofC_S11Farm_0332,,S11Farm_Box09_62,20,,
SALK_026568C,1B,CofC_S11Farm_0333,,S11Farm_Box04_24,>100,I11-V13-3,
